product_id,product_category,product_name,product_price,scrapy_datetime,style_id,color_id,Fit,Composition,Material
0690449043,men_jeans_ripped,Skinny Jeans,$ 39.99,2022-03-29 21:51:23,0690449,006,Skinny fit,Lining: Polyester 100%,keyFibreType
0690449043,men_jeans_ripped,Skinny Jeans,$ 39.99,2022-03-29 21:51:23,0690449,006,Skinny fit,"Cotton 98%, Spandex 2%",Denim
0690449043,men_jeans_ripped,Skinny Jeans,$ 39.99,2022-03-29 21:51:23,0690449,007,Skinny fit,Lining: Polyester 100%,keyFibreType
0690449043,men_jeans_ripped,Skinny Jeans,$ 39.99,2022-03-29 21:51:23,0690449,007,Skinny fit,"Cotton 98%, Spandex 2%",Denim
0690449043,men_jeans_ripped,Skinny Jeans,$ 39.99,2022-03-29 21:51:23,0690449,009,Skinny fit,Lining: Polyester 100%,keyFibreType
0690449043,men_jeans_ripped,Skinny Jeans,$ 39.99,2022-03-29 21:51:23,0690449,009,Skinny fit,"Cotton 98%, Spandex 2%",Denim
0690449043,men_jeans_ripped,Skinny Jeans,$ 39.99,2022-03-29 21:51:23,0690449,011,Skinny fit,Lining: Polyester 100%,keyFibreType
0690449043,men_jeans_ripped,Skinny Jeans,$ 39.99,2022-03-29 21:51:23,0690449,011,Skinny fit,"Cotton 98%, Spandex 2%",Denim
0690449043,men_jeans_ripped,Skinny Jeans,$ 39.99,2022-03-29 21:51:23,0690449,013,Skinny fit,Lining: Polyester 100%,keyFibreType
0690449043,men_jeans_ripped,Skinny Jeans,$ 39.99,2022-03-29 21:51:23,0690449,013,Skinny fit,"Cotton 98%, Spandex 2%",Denim
0690449043,men_jeans_ripped,Skinny Jeans,$ 39.99,2022-03-29 21:51:23,0690449,021,Skinny fit,Lining: Polyester 100%,keyFibreType
0690449043,men_jeans_ripped,Skinny Jeans,$ 39.99,2022-03-29 21:51:23,0690449,021,Skinny fit,"Cotton 98%, Spandex 2%",Denim
